,Seed,Step,Coverage
1362,0,146832,457
1363,0,146988,457
1364,0,147005,457
1365,0,147204,457
1366,0,147236,457
1367,0,147275,457
1368,0,147624,457
1369,0,147770,457
1370,0,147926,457
1371,0,148272,457
1372,0,148283,457
1373,0,148310,457
1374,0,148330,459
1375,0,148413,459
1376,0,148506,459
1377,0,148874,459
1378,0,148940,459
1379,0,149038,459
1380,0,149233,459
1381,0,149566,459
1382,0,149667,459
1383,0,149719,459
1384,0,149995,459
1385,0,150229,459
1386,0,150323,459
1387,0,150389,459
1388,0,150476,459
1389,0,150709,459
1390,0,150913,459
1391,0,151180,459
1392,0,151309,459
1393,0,151401,459
1394,0,152077,459
1395,0,152723,459
1396,0,152999,459
1397,0,153680,459
1398,0,153691,459
1399,0,153801,459
1400,0,153852,459
1401,0,153974,459
1402,0,153985,459
1403,0,154236,459
1404,0,154242,459
1405,0,154388,459
1406,0,154514,459
1407,0,154625,459
1408,0,154672,459
1409,0,155029,459
1410,0,155090,459
1411,0,155316,459
1412,0,155498,459
1413,0,155539,459
1414,0,155607,459
1415,0,155656,459
1416,0,155675,459
1417,0,155931,459
1418,0,156118,459
1419,0,156199,459
1420,0,156410,459
1421,0,156636,459
1422,0,156642,459
1423,0,157284,459
1424,0,157320,459
1425,0,157399,459
1426,0,157422,459
1427,0,157486,459
1428,0,157948,459
1429,0,158124,459
1430,0,158136,459
1431,0,158192,459
1432,0,158238,459
1433,0,158274,459
1434,0,158322,459
1435,0,158798,459
1436,0,158872,459
1437,0,159088,459
1438,0,159109,459
1439,0,159140,459
1440,0,159696,459
1441,0,159707,459
1442,0,159778,459
1443,0,160669,459
1444,0,160684,459
1445,0,160935,459
1446,0,161051,459
1447,0,161181,459
1448,0,161200,459
1449,0,161221,459
1450,0,161287,459
1451,0,161694,459
1452,0,161941,459
1453,0,162217,459
1454,0,162503,459
1455,0,162534,459
1456,0,163435,459
1457,0,163549,459
1458,0,163945,459
1459,0,164311,459
1460,0,164574,459
1461,0,164695,459
1462,0,164932,459
1463,0,165210,459
1464,0,165346,459
1465,0,166177,459
1466,0,166448,459
1467,0,166511,459
1468,0,166617,459
1469,0,166643,459
1470,0,166985,459
1471,0,167077,459
1472,0,167203,459
1473,0,167402,459
1474,0,167406,459
1475,0,167490,459
1476,0,167511,459
1477,0,167540,459
1478,0,167605,459
1479,0,167656,459
1480,0,167672,459
1481,0,167730,459
1482,0,167761,459
1483,0,167795,459
1484,0,168166,459
1485,0,168432,459
1486,0,168543,459
1487,0,168719,459
1488,0,168835,459
1489,0,169066,459
1490,0,169134,459
1491,0,169179,459
1492,0,169370,459
1493,0,169377,459
1494,0,169493,459
1495,0,169664,459
1496,0,169805,459
1497,0,169836,459
1498,0,170463,459
1499,0,171044,459
1500,0,171185,459
1501,0,171447,459
